feature,importance,std
Contract,0.09257904518335709,0.015400165204420821
tenure,0.06191258632021726,0.018247597656467815
InternetService,0.049026025806260726,0.010298049822055361
TotalCharges,0.03856155411291198,0.011865328321252379
OnlineSecurity,0.01985735305110267,0.009592645722972503
TechSupport,0.019824704293078713,0.009707695801928306
PaperlessBilling,0.011243980602899736,0.005799332937026574
OnlineBackup,0.007170644875658675,0.007271028445544857
MonthlyCharges,0.0053126787792449354,0.009019070073572007
StreamingMovies,0.004142937662010112,0.00631575078063423
MultipleLines,0.0025356223420758346,0.005282483363722089
PhoneService,0.0025195219657125974,0.0009000881931410475
StreamingTV,0.001410919187878501,0.003376885867577155
PaymentMethod,0.0009598289029970619,0.004661950537388808
SeniorCitizen,0.0008869164551098245,0.0013078614694213323
Partner,0.0003081835040897355,0.0025648444937583664
gender,-0.0013133260216300125,0.0019546199531008178
DeviceProtection,-0.00134662094084268,0.004310084845429225
Dependents,-0.0026915141616620304,0.004114052532707317
