threshold,contacted,true_churners_reached,wasted_offers,net_value,precision,recall,f1
0.05,1039,363,676,58966.105568,0.34937439846005774,0.9705882352941176,0.5138004246284501
0.1,917,357,560,60612.120352,0.3893129770992366,0.9545454545454546,0.5530596436870643
0.15,760,329,431,57985.189344,0.4328947368421053,0.8796791443850267,0.5802469135802469
0.2,684,317,367,57077.218912,0.46345029239766083,0.8475935828877005,0.5992438563327032
0.3,589,299,290,55240.263264,0.5076400679117148,0.7994652406417112,0.6209761163032191
0.4,383,227,156,43542.440672,0.5926892950391645,0.606951871657754,0.5997357992073976
0.5,289,186,103,36298.541696,0.643598615916955,0.49732620320855614,0.5610859728506787
0.6,197,135,62,26664.66736,0.6852791878172588,0.3609625668449198,0.47285464098073554
0.7,105,84,21,17030.793024,0.8,0.22459893048128343,0.35073068893528186
0.8,69,56,13,11378.862016,0.8115942028985508,0.1497326203208556,0.2528216704288939
0.9,10,9,1,1855.977824,0.9,0.02406417112299465,0.046875
