threshold,contacted,true_churners_reached,wasted_offers,net_value,net_value_per_1000,precision,recall,f1
0.05,4194,1468,2726,238658.38284799998,42428.15695075555,0.35002384358607536,0.9819397993311036,0.5160836702408156
0.1,3587,1418,2169,242133.506048,43045.95663075556,0.39531642040702536,0.948494983277592,0.5580480125934671
0.15,2998,1350,1648,240946.67359999998,42834.96419555555,0.45030020013342226,0.903010033444816,0.60093478744714
0.2,2658,1288,1370,234938.826368,41766.90246542223,0.48457486832204666,0.8615384615384616,0.6202745003611847
0.3,2152,1164,988,218573.131904,38857.44567182223,0.5408921933085502,0.7785953177257525,0.6383328763367151
0.4,1533,934,599,180228.69862399998,32040.657533155554,0.6092628832354859,0.6247491638795987,0.6169088507265522
0.5,1076,738,338,145790.181568,25918.25450097778,0.6858736059479554,0.4936454849498328,0.574095682613769
0.6,769,544,225,108069.659584,19212.383926044444,0.7074122236671001,0.36387959866220737,0.48056537102473496
0.7,415,325,90,65674.1992,11675.41319111111,0.7831325301204819,0.21739130434782608,0.3403141361256545
0.8,244,205,39,41869.49488,7443.465756444444,0.8401639344262295,0.13712374581939799,0.2357676825761932
0.9,53,47,6,9672.884192,1719.6238563555555,0.8867924528301887,0.031438127090301006,0.060723514211886306
